persistence_score,detection_count,average_frp,average_confidence,industrial_distance_km,nearby_industrial_facility_count,label
86.4,29,47.3,95.9,1.09,3,Industrial
96.1,14,62.3,74.5,5.26,4,Industrial
69.3,8,142.2,84.2,24.86,2,Other
56.6,5,39.6,52.9,28.07,0,Agricultural
22.8,5,26.2,75.1,26.48,2,Agricultural
32.7,7,123.1,88.1,39.89,1,Other
86.2,14,24.4,68.6,1.78,4,Industrial
22.5,2,287.2,100.0,2.51,0,Wildfire
78.2,1,95.8,71.1,1.3,6,Industrial
19.6,1,100.6,94.9,12.17,1,Other
15.3,2,38.3,69.5,7.4,0,Agricultural
5.2,1,214.4,100.0,34.18,0,Wildfire
69.3,18,18.3,83.7,1.71,4,Industrial
17.6,9,194.0,84.2,25.64,0,Wildfire
21.8,6,203.9,90.4,17.98,0,Wildfire
30.1,5,25.5,65.9,21.01,0,Agricultural
29.2,4,25.6,88.7,9.61,1,Agricultural
58.7,2,113.2,93.1,10.84,0,Other
24.2,5,188.2,99.6,47.11,0,Wildfire
99.6,8,56.3,85.0,0.22,7,Industrial
48.5,6,24.3,66.9,10.35,0,Agricultural
35.5,1,82.7,53.4,40.02,0,Other
24.8,5,31.6,76.9,31.94,0,Agricultural
33.3,7,149.2,83.1,27.89,1,Other
21.4,2,120.7,96.3,15.85,0,Wildfire
41.2,1,48.5,86.4,19.87,1,Agricultural
3.6,4,297.0,91.4,48.19,0,Wildfire
88.9,19,57.2,90.0,1.85,2,Industrial
90.8,17,45.2,85.9,0.55,8,Industrial
92.1,20,73.3,90.7,0.55,2,Industrial
49.0,1,49.7,70.8,16.36,1,Agricultural
57.0,4,148.0,95.3,0.1,0,Wildfire
41.0,1,27.2,70.8,19.24,1,Agricultural
31.2,5,71.5,55.3,32.04,0,Other
100.0,37,45.7,99.9,0.1,5,Industrial
14.5,2,224.2,83.7,25.16,1,Wildfire
61.5,3,97.3,76.4,21.3,0,Other
77.7,23,69.8,79.9,0.8,3,Industrial
73.3,19,1.0,79.5,1.15,1,Industrial
25.9,2,197.5,70.4,45.61,0,Wildfire
84.7,15,41.1,76.2,2.01,8,Industrial
68.8,4,45.7,92.0,1.92,2,Other
65.9,9,99.1,80.7,3.33,1,Other
41.3,6,26.6,71.4,16.9,0,Agricultural
7.1,1,143.9,86.9,17.66,0,Other
35.0,7,102.6,59.3,8.71,0,Other
80.5,36,64.4,95.0,1.47,3,Industrial
77.5,6,84.2,52.1,48.42,1,Other
28.6,3,34.0,92.9,19.06,1,Agricultural
12.8,4,139.9,61.2,18.61,1,Other
61.3,9,43.7,56.1,9.87,2,Other
24.6,5,267.0,81.9,37.14,0,Wildfire
83.6,31,73.5,86.8,6.27,2,Industrial
72.0,28,37.0,79.7,1.06,9,Industrial
28.8,3,238.2,87.5,24.8,0,Wildfire
72.6,9,23.9,70.1,40.0,0,Other
55.5,7,96.2,59.4,17.77,2,Other
77.2,31,47.6,89.2,0.59,5,Industrial
48.8,3,4.5,91.9,28.45,0,Agricultural
8.7,1,301.0,84.5,50.58,0,Wildfire
86.3,18,87.2,100.0,1.39,5,Industrial
83.3,20,63.9,94.6,2.33,4,Industrial
18.8,4,321.1,96.3,14.76,0,Wildfire
78.6,2,67.4,92.0,19.19,1,Other
47.8,3,110.4,91.4,7.32,0,Wildfire
55.5,2,24.5,76.0,13.46,0,Agricultural
60.9,2,56.6,94.9,11.34,1,Agricultural
5.0,5,261.3,100.0,24.0,0,Wildfire
24.7,9,44.9,63.6,37.97,1,Other
6.5,5,14.7,53.1,45.32,0,Other
16.9,1,270.7,97.4,22.19,0,Wildfire
23.7,5,256.2,91.0,23.9,0,Wildfire
10.9,7,99.7,92.9,11.43,0,Wildfire
21.2,6,135.3,86.8,20.73,0,Wildfire
79.6,27,73.0,74.8,2.95,4,Industrial
40.9,1,1.0,76.5,22.23,0,Agricultural
66.5,1,19.3,71.1,26.18,0,Agricultural
85.6,18,34.0,80.2,2.12,8,Industrial
5.7,7,193.8,88.2,56.93,0,Wildfire
65.7,8,63.3,88.8,48.22,0,Other
66.7,27,57.3,98.7,1.51,7,Industrial
81.7,20,30.9,89.2,0.87,8,Industrial
4.1,6,185.0,99.9,36.87,0,Wildfire
89.0,1,112.4,59.4,42.91,2,Other
100.0,21,10.9,83.3,0.66,6,Industrial
59.6,1,23.8,60.1,0.1,1,Agricultural
62.1,4,127.8,73.6,48.96,1,Other
73.2,36,40.7,87.0,0.29,7,Industrial
55.4,1,40.9,80.0,5.3,2,Agricultural
32.5,4,122.0,100.0,23.8,0,Wildfire
43.8,2,27.2,55.9,13.23,1,Agricultural
46.3,3,34.8,83.3,10.79,0,Agricultural
45.5,6,26.6,64.8,14.84,0,Agricultural
82.0,8,65.6,95.5,0.1,6,Industrial
24.0,8,14.9,79.1,49.77,2,Other
7.0,6,293.1,92.7,31.42,0,Wildfire
86.9,35,1.0,91.8,0.57,9,Industrial
75.3,25,44.9,61.0,1.58,6,Industrial
33.4,1,26.7,39.0,18.62,0,Agricultural
21.4,3,8.1,65.4,8.98,1,Agricultural
66.2,26,46.8,91.7,0.14,5,Industrial
34.0,1,9.3,42.1,21.65,1,Agricultural
83.2,34,39.2,86.4,1.74,4,Industrial
30.8,6,22.6,77.7,13.65,1,Agricultural
96.8,7,54.1,92.6,3.1,3,Industrial
22.8,3,29.5,66.9,13.97,0,Agricultural
0.0,1,258.6,98.6,37.87,0,Wildfire
69.2,4,104.2,63.8,15.32,1,Other
90.3,29,13.6,78.1,1.31,6,Industrial
5.5,3,204.0,88.4,10.87,0,Wildfire
97.1,8,33.9,94.6,0.68,5,Industrial
2.8,5,145.0,69.2,1.95,0,Other
38.8,2,13.3,87.8,22.93,0,Other
44.2,4,218.3,92.4,34.04,0,Wildfire
38.4,3,6.4,53.1,5.45,0,Agricultural
54.2,7,126.7,72.0,15.12,0,Other
42.1,1,17.0,70.9,18.95,0,Agricultural
23.9,3,61.1,56.2,0.1,2,Agricultural
82.1,44,72.5,80.5,0.1,8,Industrial
72.2,21,55.6,78.3,3.14,7,Industrial
28.6,2,116.7,69.3,25.56,1,Other
86.6,9,67.1,91.4,38.23,2,Other
53.1,5,26.9,68.0,23.03,0,Agricultural
29.8,5,198.5,86.1,36.24,0,Wildfire
34.2,3,140.2,100.0,19.68,0,Wildfire
54.3,4,40.9,77.7,9.87,1,Agricultural
65.9,7,128.4,80.7,4.43,1,Other
40.8,4,19.2,67.4,5.55,2,Other
95.5,5,51.9,53.8,25.03,2,Other
46.5,2,19.4,55.0,8.89,0,Agricultural
93.3,23,44.7,65.0,0.38,7,Industrial
100.0,12,37.0,86.9,1.72,6,Industrial
77.5,3,79.5,64.2,6.69,1,Other
27.7,5,30.0,69.9,12.38,1,Agricultural
86.6,33,32.7,78.4,0.67,9,Industrial
82.0,24,89.6,100.0,1.83,0,Industrial
20.1,4,17.8,72.9,15.55,2,Agricultural
78.8,21,62.3,97.0,0.1,6,Industrial
79.9,23,40.9,99.5,2.59,7,Industrial
28.9,2,49.1,82.2,23.6,0,Agricultural
19.5,1,39.6,65.1,19.83,0,Agricultural
13.8,3,7.1,53.0,13.26,0,Agricultural
58.6,49,65.7,84.8,4.97,7,Industrial
36.1,2,32.9,84.7,9.06,0,Agricultural
72.6,10,53.3,85.5,2.82,4,Industrial
0.0,2,191.7,73.6,23.24,0,Wildfire
64.9,4,30.8,66.9,9.8,0,Agricultural
34.4,2,49.2,78.4,6.11,1,Agricultural
38.8,7,46.4,67.3,45.87,0,Other
43.7,4,28.9,65.2,16.21,0,Agricultural
23.7,2,30.6,78.8,15.03,1,Agricultural
68.7,33,37.6,100.0,0.85,2,Industrial
0.0,6,229.7,90.5,28.32,0,Wildfire
50.4,1,215.2,83.4,29.26,0,Wildfire
85.2,24,25.1,75.4,1.54,5,Industrial
0.9,4,139.7,61.4,31.72,0,Other
32.5,7,163.8,85.3,27.66,0,Wildfire
2.9,5,102.7,55.9,14.44,1,Other
30.3,5,51.3,61.0,0.1,1,Agricultural
56.4,4,101.9,62.0,9.58,1,Other
55.1,1,30.5,73.2,13.48,0,Agricultural
41.6,4,59.6,46.5,27.94,0,Agricultural
21.6,7,176.8,100.0,20.95,0,Wildfire
70.5,24,25.0,88.6,0.6,3,Industrial
40.2,4,49.0,64.5,11.17,1,Agricultural
34.4,2,233.8,91.1,35.53,0,Wildfire
80.0,24,57.0,80.1,0.1,4,Industrial
23.7,1,40.2,52.8,20.33,0,Agricultural
89.6,14,26.0,93.6,0.3,8,Industrial
54.4,7,33.4,89.0,29.19,1,Other
26.5,6,51.5,85.7,37.95,0,Other
51.4,5,61.7,96.6,41.38,2,Other
28.7,5,239.8,96.7,29.22,0,Wildfire
79.6,30,24.0,72.8,5.76,8,Industrial
73.4,4,13.5,91.9,0.57,2,Other
31.6,1,215.5,100.0,43.19,0,Wildfire
17.9,8,87.4,69.8,6.59,1,Other
31.0,3,132.0,83.6,39.83,0,Other
62.5,6,126.6,95.3,0.61,1,Other
20.6,1,232.7,79.7,11.47,0,Wildfire
38.3,2,145.2,88.5,17.96,0,Wildfire
68.5,3,17.9,68.7,47.22,2,Other
34.0,3,93.9,85.9,27.6,0,Wildfire
79.9,8,23.4,85.8,5.29,5,Industrial
17.6,1,28.7,48.3,7.63,2,Agricultural
7.7,1,143.2,64.9,4.6,2,Other
24.9,5,45.2,46.4,22.41,0,Agricultural
55.3,3,38.3,75.1,18.13,1,Agricultural
71.7,22,49.1,69.7,0.9,6,Industrial
47.7,2,27.4,73.4,12.04,1,Agricultural
25.9,4,111.3,50.5,29.47,2,Other
80.0,27,55.9,82.7,2.01,1,Industrial
29.5,1,55.6,65.5,27.92,0,Agricultural
95.1,8,122.7,91.1,46.64,1,Other
55.0,5,40.2,72.3,28.7,0,Agricultural
50.2,2,46.1,100.0,8.71,1,Agricultural
19.3,2,51.8,49.9,20.54,1,Agricultural
49.9,2,156.0,98.6,21.13,0,Wildfire
19.3,2,200.3,97.9,24.83,0,Wildfire
76.4,4,101.7,63.0,7.97,0,Other
7.0,2,103.0,94.1,40.71,1,Other
28.9,3,45.0,75.8,26.78,0,Other
35.4,8,120.5,65.4,45.69,1,Other
41.3,1,26.6,57.2,16.4,0,Agricultural
84.8,3,42.7,72.6,16.32,1,Agricultural
61.1,2,104.3,59.0,34.7,0,Other
41.7,6,25.8,76.4,8.76,0,Agricultural
35.7,7,36.5,49.3,10.48,0,Agricultural
96.0,6,88.0,70.8,21.45,2,Other
17.2,5,67.7,93.5,31.57,1,Other
6.1,5,128.4,85.9,15.04,0,Wildfire
29.8,4,214.1,63.2,27.6,0,Wildfire
100.0,13,79.3,95.0,0.44,2,Industrial
45.6,3,29.2,88.4,23.77,0,Agricultural
78.7,28,44.0,84.1,0.12,4,Industrial
35.4,4,275.3,95.0,25.44,0,Wildfire
30.9,3,48.0,62.6,0.1,0,Agricultural
29.3,1,82.3,88.1,18.82,0,Wildfire
53.5,5,39.8,52.9,13.39,2,Agricultural
84.9,38,58.3,92.5,1.09,5,Industrial
91.2,27,59.3,87.0,1.36,7,Industrial
20.2,3,43.8,60.7,21.24,2,Other
24.7,5,161.7,100.0,20.79,0,Wildfire
78.4,33,28.2,93.9,4.2,5,Industrial
17.1,4,45.7,78.1,20.7,0,Agricultural
8.8,7,61.6,71.6,1.56,0,Other
92.6,28,18.7,86.0,0.59,9,Industrial
36.0,5,17.8,75.5,17.53,1,Agricultural
84.0,19,74.3,79.0,1.25,3,Industrial
91.2,38,57.7,95.9,1.24,9,Industrial
50.6,3,26.9,78.4,3.23,3,Agricultural
42.1,4,54.0,69.0,9.78,1,Agricultural
48.4,2,30.0,50.8,23.9,1,Agricultural
56.2,3,14.7,51.9,17.99,1,Agricultural
66.8,8,33.8,51.0,38.96,2,Other
25.3,9,13.5,65.3,1.76,1,Agricultural
28.1,1,289.0,81.9,23.51,0,Wildfire
88.1,8,102.3,60.6,43.15,1,Other
6.6,7,223.1,90.7,36.92,0,Wildfire
18.2,3,184.3,87.9,17.53,0,Wildfire
78.4,17,15.4,82.7,0.16,6,Industrial
78.9,35,29.7,77.4,0.21,3,Industrial
21.1,8,30.6,67.1,43.23,0,Other
8.3,5,52.3,78.2,40.19,0,Other
42.8,8,35.2,54.9,14.24,0,Agricultural
0.0,1,168.5,78.1,1.78,0,Wildfire
100.0,33,59.6,88.7,0.57,8,Industrial
97.5,24,69.0,81.3,0.78,4,Industrial
48.6,9,377.5,88.4,27.96,0,Wildfire
17.3,1,36.0,50.6,17.33,0,Agricultural
30.9,1,21.8,82.5,6.16,0,Agricultural
43.3,1,47.9,71.7,8.24,2,Agricultural
3.5,7,232.7,86.9,16.61,0,Wildfire
87.1,8,97.8,87.5,7.6,1,Other
26.7,2,16.4,56.0,9.66,0,Agricultural
39.0,4,53.9,66.9,14.64,0,Agricultural
21.8,1,50.8,64.2,18.06,0,Agricultural
11.0,1,392.8,92.2,25.21,0,Wildfire
93.9,4,84.5,82.1,0.1,2,Industrial
24.3,3,226.4,74.8,32.51,0,Wildfire
38.0,8,64.9,87.5,6.27,1,Other
91.9,43,46.5,91.7,0.1,3,Industrial
78.0,12,60.1,87.0,0.46,8,Industrial
94.9,35,28.2,72.2,0.12,5,Industrial
91.4,23,56.5,73.5,0.24,8,Industrial
90.4,8,116.0,52.8,0.34,0,Other
25.8,6,44.0,66.5,24.08,0,Agricultural
3.4,3,160.6,81.6,6.15,0,Wildfire
88.5,19,13.6,87.7,1.02,4,Industrial
33.7,5,301.1,81.5,30.43,0,Wildfire
23.0,10,264.8,87.8,33.59,0,Wildfire
83.8,25,27.4,100.0,0.19,4,Industrial
21.1,4,123.8,90.8,27.58,0,Wildfire
1.4,4,236.1,85.7,23.54,0,Wildfire
33.8,6,38.3,50.0,18.89,0,Agricultural
16.8,3,36.5,37.5,12.37,0,Agricultural
79.2,35,19.6,56.7,2.76,6,Industrial
22.9,6,159.2,90.3,0.12,0,Wildfire
30.1,3,30.8,95.9,18.99,0,Agricultural
25.6,2,39.2,72.4,10.31,0,Agricultural
55.1,4,126.7,90.7,30.59,1,Other
43.4,2,18.2,96.0,8.15,1,Agricultural
73.0,21,56.3,81.7,0.1,5,Industrial
88.5,22,77.4,99.3,0.77,8,Industrial
36.5,5,41.0,66.8,20.24,0,Agricultural
80.3,5,52.9,66.8,0.1,1,Industrial
51.4,6,19.6,89.6,5.57,2,Agricultural
78.3,3,148.6,51.3,30.18,2,Other
20.6,4,36.8,42.0,5.71,0,Agricultural
15.8,9,161.9,81.6,22.75,0,Wildfire
55.7,6,22.7,60.8,18.93,1,Agricultural
14.6,1,305.5,90.7,20.89,0,Wildfire
29.8,5,31.5,62.4,17.76,0,Agricultural
27.5,7,48.0,95.2,18.74,1,Other
18.9,8,178.5,84.1,31.55,0,Wildfire
81.7,9,23.4,72.5,16.87,1,Other
21.1,7,17.2,74.6,22.11,0,Other
91.7,1,55.0,73.1,2.46,3,Industrial
73.5,7,42.2,86.6,0.1,7,Industrial
80.3,10,65.2,73.5,2.62,6,Industrial
81.2,22,62.1,96.2,1.29,6,Industrial
96.4,27,68.6,90.4,1.22,3,Industrial
25.7,1,18.4,82.5,22.2,0,Agricultural
89.5,34,83.8,100.0,1.28,5,Industrial
33.8,9,255.6,92.8,15.12,0,Wildfire
4.5,7,57.8,73.9,46.44,0,Other
81.8,24,46.3,81.8,0.1,5,Industrial
96.5,1,134.7,78.8,28.2,1,Other
22.9,2,250.3,87.6,14.32,0,Wildfire
82.2,27,12.8,91.0,2.36,4,Industrial
44.5,1,19.3,87.8,26.49,0,Agricultural
57.5,1,1.0,80.6,8.92,0,Agricultural
72.9,8,26.6,50.0,35.61,0,Other
44.3,5,32.0,71.2,19.43,0,Agricultural
8.5,5,63.2,80.4,19.44,0,Other
15.8,3,197.5,92.7,35.69,1,Wildfire
85.9,19,70.3,76.8,1.67,4,Industrial
57.8,7,108.1,87.7,43.64,1,Other
61.9,2,13.6,64.2,22.15,2,Other
12.6,9,25.1,73.9,29.28,1,Other
0.0,8,382.3,96.6,12.3,0,Wildfire
20.0,3,112.6,98.3,34.14,0,Wildfire
81.0,6,112.2,68.2,32.05,1,Other
0.0,6,343.7,97.1,22.57,0,Wildfire
31.6,1,117.3,85.1,16.57,1,Other
75.6,5,67.7,96.7,12.54,0,Other
26.4,5,152.5,88.3,25.79,0,Wildfire
65.8,9,73.2,67.7,20.04,0,Other
88.3,4,64.2,83.0,22.1,1,Other
63.7,29,52.6,84.2,1.38,4,Industrial
16.3,7,39.2,52.9,27.62,2,Other
22.1,5,21.5,57.8,15.63,0,Agricultural
90.8,4,51.5,57.2,7.57,1,Other
27.6,9,381.7,86.0,29.91,0,Wildfire
94.1,2,132.5,98.5,8.86,1,Other
28.5,6,1.0,96.8,26.26,0,Wildfire
98.8,24,38.2,93.4,0.21,3,Industrial
59.9,9,63.7,60.8,22.13,0,Other
89.3,29,14.5,95.6,2.41,9,Industrial
36.5,10,312.0,95.5,9.56,0,Wildfire
8.0,4,32.9,59.2,10.11,1,Other
39.8,5,77.7,69.1,41.96,0,Other
42.0,1,30.1,71.9,9.12,0,Agricultural
42.4,5,32.6,49.9,11.71,2,Agricultural
22.0,1,209.6,93.2,26.31,0,Wildfire
34.7,1,292.3,100.0,21.98,0,Wildfire
0.0,5,240.6,80.8,36.34,0,Wildfire
35.1,2,37.4,62.0,19.09,0,Agricultural
92.2,1,49.3,67.5,39.12,1,Other
87.4,8,41.5,70.0,20.48,1,Other
79.9,4,112.3,71.0,28.92,3,Other
100.0,17,58.5,97.8,0.77,5,Industrial
0.0,9,106.5,63.7,19.79,0,Wildfire
100.0,43,47.9,72.6,1.21,3,Industrial
58.1,1,5.7,76.5,19.92,1,Agricultural
46.7,4,395.3,86.0,18.88,0,Wildfire
59.9,5,50.3,50.3,24.81,0,Other
29.6,5,190.9,77.0,27.33,0,Wildfire
77.4,30,1.0,84.6,0.1,9,Industrial
85.5,16,37.2,76.8,1.21,4,Industrial
17.2,5,40.0,64.2,20.02,1,Other
24.0,5,47.7,68.4,23.0,0,Agricultural
97.6,36,30.5,95.1,3.18,3,Industrial
80.3,21,50.0,96.5,1.69,5,Industrial
40.5,3,27.3,75.9,20.54,2,Agricultural
92.3,28,33.6,90.3,0.35,6,Industrial
26.9,2,119.7,95.5,18.51,3,Other
64.3,2,36.9,62.5,13.54,0,Agricultural
82.1,20,69.8,79.1,3.13,8,Industrial
100.0,25,29.1,85.3,0.56,9,Industrial
85.9,2,108.7,87.1,33.89,0,Other
19.0,5,205.9,88.5,36.92,0,Wildfire
18.7,6,173.3,76.6,27.12,0,Wildfire
51.1,6,74.5,91.4,41.48,1,Other
83.9,7,107.6,68.1,43.96,1,Other
40.8,8,16.6,98.1,33.96,1,Other
24.9,9,51.8,88.8,19.66,0,Other
20.4,4,195.1,92.2,11.32,0,Wildfire
72.5,35,46.8,100.0,0.22,5,Industrial
42.2,8,37.4,91.0,32.44,1,Other
74.6,4,17.6,39.7,16.16,0,Agricultural
20.0,5,181.7,96.2,10.91,0,Wildfire
91.5,8,113.9,58.4,6.02,0,Other
80.9,28,53.4,75.0,1.08,4,Industrial
17.3,8,164.1,83.1,5.31,0,Wildfire
96.4,25,45.8,100.0,6.74,7,Industrial
5.4,8,253.2,84.5,35.02,0,Wildfire
80.0,14,34.2,87.4,0.52,6,Industrial
71.7,14,28.8,75.8,2.29,3,Industrial
80.1,26,76.1,90.9,0.28,2,Industrial
33.8,2,33.2,55.1,6.87,0,Agricultural
54.0,1,37.3,57.0,10.9,0,Agricultural
26.5,4,42.2,55.1,18.36,0,Agricultural
8.7,4,67.9,52.0,13.7,2,Other
28.4,4,232.3,84.5,38.15,0,Wildfire
11.5,1,239.0,100.0,29.81,0,Wildfire
33.5,3,99.0,67.8,7.43,2,Other
82.2,21,34.4,74.8,1.54,7,Industrial
11.0,8,58.0,84.2,1.27,1,Other
86.4,19,37.9,71.2,0.13,2,Industrial
91.1,1,77.7,56.2,15.38,1,Other
88.2,41,52.8,95.0,1.15,4,Industrial
76.0,4,143.3,86.9,29.87,1,Other
36.4,1,41.2,57.5,13.86,0,Agricultural
96.2,5,78.5,67.6,45.48,2,Other
92.9,17,11.8,81.1,2.37,6,Industrial
55.0,6,15.9,94.2,12.42,0,Agricultural
63.5,2,114.9,77.3,10.2,0,Other
38.3,6,16.7,31.2,15.48,1,Agricultural
54.2,1,27.8,81.3,5.5,1,Agricultural
47.1,1,52.8,79.9,0.12,1,Agricultural
33.0,8,156.0,73.5,40.06,0,Wildfire
33.8,4,38.1,76.4,12.76,0,Agricultural
20.8,3,57.6,52.5,19.16,0,Agricultural
4.1,3,88.4,92.9,33.35,2,Other
85.5,32,37.8,88.6,0.54,7,Industrial
21.2,5,98.0,93.8,36.16,0,Wildfire
49.0,5,56.8,76.0,9.88,1,Other
8.5,4,102.2,71.9,13.84,1,Other
42.6,1,202.3,69.2,21.8,1,Wildfire
64.7,3,17.0,69.5,15.14,1,Agricultural
27.1,1,149.6,85.1,31.33,0,Wildfire
100.0,25,52.4,78.3,0.19,1,Industrial
18.8,3,161.5,97.0,19.82,0,Wildfire
18.7,10,347.5,77.6,13.78,0,Wildfire
28.3,2,54.0,82.0,21.9,0,Agricultural
70.8,41,47.7,75.4,3.88,5,Industrial
34.3,8,88.3,75.7,4.98,0,Other
96.4,4,94.4,54.0,34.16,2,Other
22.7,5,36.7,84.4,13.1,1,Agricultural
25.7,3,15.1,60.5,16.51,1,Agricultural
24.5,6,143.6,74.6,23.55,0,Wildfire
4.0,3,75.6,57.4,49.23,0,Other
35.6,2,23.9,92.1,12.09,0,Agricultural
85.5,38,45.5,93.6,0.74,8,Industrial
33.2,7,117.1,96.5,10.24,2,Other
38.7,3,52.6,99.1,32.14,2,Other
80.2,4,131.7,59.0,47.38,0,Other
41.2,5,18.3,93.4,2.76,0,Agricultural
27.4,4,27.8,65.2,4.83,0,Agricultural
18.5,3,189.0,99.6,27.08,0,Wildfire
59.8,6,68.7,85.1,20.54,1,Other
69.2,6,15.4,68.4,48.95,1,Other
87.6,29,76.8,88.7,3.0,5,Industrial
84.4,36,51.7,77.5,0.81,4,Industrial
20.2,6,178.5,71.6,20.67,0,Wildfire
12.9,3,119.2,73.6,11.37,0,Other
33.3,9,58.0,99.4,24.26,0,Other
92.9,24,69.5,75.3,0.31,1,Industrial
54.7,2,35.4,100.0,9.27,0,Agricultural
17.6,7,63.4,100.0,33.93,0,Wildfire
33.6,6,139.8,98.1,25.45,1,Other
95.9,2,91.2,64.1,13.95,2,Other
57.9,1,31.6,72.0,25.52,0,Other
16.2,3,179.4,88.4,29.3,0,Wildfire
20.7,6,348.5,85.2,28.24,0,Wildfire
0.0,1,173.2,100.0,24.59,0,Wildfire
100.0,29,55.5,85.1,1.42,4,Industrial
43.2,8,77.8,89.7,28.82,0,Other
81.0,3,41.4,75.2,13.04,0,Other
64.8,5,72.4,98.3,28.56,1,Other
56.9,8,91.6,85.9,18.6,0,Other
6.1,1,24.3,78.2,9.0,2,Agricultural
32.1,5,106.3,63.7,36.82,0,Other
4.9,4,59.5,65.8,24.55,0,Other
19.2,3,146.5,70.6,22.24,2,Other
72.5,36,69.5,77.2,1.69,3,Industrial
23.0,4,296.4,85.6,21.59,1,Wildfire
79.3,13,66.3,100.0,0.2,3,Industrial
70.4,2,61.3,69.5,48.82,2,Other
37.0,2,30.7,43.8,18.96,1,Agricultural
88.8,13,72.6,86.5,0.1,6,Industrial
35.0,6,24.0,80.2,5.77,1,Agricultural
47.1,1,5.1,77.5,0.1,0,Agricultural
15.2,5,276.4,93.2,47.78,0,Wildfire
84.5,9,31.2,79.4,1.05,3,Industrial
31.0,3,39.7,78.7,11.72,1,Agricultural
44.3,6,44.7,95.8,0.1,0,Agricultural
63.9,1,70.9,64.6,27.27,0,Other
54.9,4,1.0,100.0,17.36,2,Agricultural
7.5,2,16.9,62.9,6.78,0,Other
28.4,4,27.8,86.8,17.96,1,Agricultural
26.5,4,9.0,88.3,17.57,0,Agricultural
69.7,7,127.1,98.7,48.78,0,Other
17.5,6,285.8,81.2,28.49,0,Wildfire
79.6,24,71.6,80.4,1.81,3,Industrial
87.0,31,55.2,65.5,0.1,7,Industrial
